?class	?labels	?synonyms	?definitions
<https://mdatahub.org/data/meo/MEO_0000910>	"hydrocarbon contaminated soil"		
<https://mdatahub.org/data/meo/MEO_0000911>	"gastric fluid"		
<https://mdatahub.org/data/meo/MEO_0000912>	"rumen fluid"		
<https://mdatahub.org/data/meo/MEO_0000913>	"pitcher fluid"		
<https://mdatahub.org/data/meo/MEO_0000914>	"rumen solids"		
<https://mdatahub.org/data/meo/MEO_0000915>	"egg capsule"		
<https://mdatahub.org/data/meo/MEO_0000916>	"estuarine plume"		
<https://mdatahub.org/data/meo/MEO_0000917>	"digestive fluid"		
<https://mdatahub.org/data/meo/MEO_0000918>	"sebum"		"the fatty secretion of the sebaceous glands."
<https://mdatahub.org/data/meo/MEO_0000919>	"digestive gland"		
<https://mdatahub.org/data/meo/MEO_0000920>	"glabella"		
<https://mdatahub.org/data/meo/MEO_0000921>	"commercial farm"		
<https://mdatahub.org/data/meo/MEO_0000922>	"dairy farm"		
<https://mdatahub.org/data/meo/MEO_0000923>	"research farm"		
<https://mdatahub.org/data/meo/MEO_0000924>	"stables site"		"Horse liviing building"
<https://mdatahub.org/data/meo/MEO_0000925>	"ileostomy fluid"		
<https://mdatahub.org/data/meo/MEO_0000926>	"kombucha tea"		
<https://mdatahub.org/data/meo/MEO_0000927>	"curry"		
<https://mdatahub.org/data/meo/MEO_0000929>	"fermented soybean bricks"		
<https://mdatahub.org/data/meo/MEO_0000931>	"bedroom floor"		
<https://mdatahub.org/data/meo/MEO_0000932>	"evergreen forest"		
<https://mdatahub.org/data/meo/MEO_0000935>	"milk associated product"		
<https://mdatahub.org/data/meo/MEO_0000936>	"sclerophyll forest"		"the normal development of much sclerenchyma in the leaves of certain plants, as some desert plants, resulting in thickened, hardened foliage that resists loss of moisture."
<https://mdatahub.org/data/meo/MEO_0000937>	"deciduous forest"		
<https://mdatahub.org/data/meo/MEO_0000938>	"hardwood forest"		
<https://mdatahub.org/data/meo/MEO_0000939>	"planted forest"		
<https://mdatahub.org/data/meo/MEO_0000940>	"fossil fuel associated"		
<https://mdatahub.org/data/meo/MEO_0000941>	"biomass associated"		
<https://mdatahub.org/data/meo/MEO_0000942>	"lignocellulosic biomass"		
<https://mdatahub.org/data/meo/MEO_0000943>	"hill"		
<https://mdatahub.org/data/meo/MEO_0000944>	"semidesert"		"an arid area that has some of the characteristics of a desert but has greater annual precipitation"
<https://mdatahub.org/data/meo/MEO_0000945>	"oil seep"		
<https://mdatahub.org/data/meo/MEO_0000946>	"active layer"		
<https://mdatahub.org/data/meo/MEO_0000947>	"basin"		"A broad tract of land in which the rock strata are tilted toward a common center."
<https://mdatahub.org/data/meo/MEO_0000948>	"cambisol"		
<https://mdatahub.org/data/meo/MEO_0000949>	"farmland"		
<https://mdatahub.org/data/meo/MEO_0000950>	"landfill"		
<https://mdatahub.org/data/meo/MEO_0000952>	"frost boil"		"frost heave."
<https://mdatahub.org/data/meo/MEO_0000953>	"gravel plain"		
<https://mdatahub.org/data/meo/MEO_0000954>	"industrial landfill"		
<https://mdatahub.org/data/meo/MEO_0000955>	"bioremediation associated"		
<https://mdatahub.org/data/meo/MEO_0000956>	"landfarming field"		
<https://mdatahub.org/data/meo/MEO_0000957>	"valley"		
<https://mdatahub.org/data/meo/MEO_0000958>	"saline pan"		"Natural salt pans are flat expanses of ground covered with salt and other minerals, usually shining white under the Sun. They are found in deserts, and are natural formations (unlike salt evaporation ponds, which are artificial)."
<https://mdatahub.org/data/meo/MEO_0000959>	"coalbed"		
<https://mdatahub.org/data/meo/MEO_0000960>	"thicket"		
<https://mdatahub.org/data/meo/MEO_0000961>	"loess"		
<https://mdatahub.org/data/meo/MEO_0000962>	"attached gingiva"		
<https://mdatahub.org/data/meo/MEO_0000963>	"periodontal pocket"		
<https://mdatahub.org/data/meo/MEO_0000964>	"ice sheet"		"An ice sheet is a mass of glacier ice that covers surrounding terrain and is greater than 50,000 km2, thus also known as continental glacier."
<https://mdatahub.org/data/meo/MEO_0000965>	"steppe"		
<https://mdatahub.org/data/meo/MEO_0000966>	"annual grassland"		
<https://mdatahub.org/data/meo/MEO_0000967>	"flooded grassland"		
<https://mdatahub.org/data/meo/MEO_0000968>	"intestinal content"		
<https://mdatahub.org/data/meo/MEO_0000969>	"ileal content"		
<https://mdatahub.org/data/meo/MEO_0000970>	"cecal content"		
<https://mdatahub.org/data/meo/MEO_0000971>	"foregut"		
<https://mdatahub.org/data/meo/MEO_0000972>	"hair on head"		
<https://mdatahub.org/data/meo/MEO_0000973>	"acidic hot spring water"		
<https://mdatahub.org/data/meo/MEO_0000974>	"bathroom door knob"		
<https://mdatahub.org/data/meo/MEO_0000975>	"microbial fuel cell"		
<https://mdatahub.org/data/meo/MEO_0000976>	"hydrothermal plume"		
<https://mdatahub.org/data/meo/MEO_0000977>	"artificial hot spring"		
<https://mdatahub.org/data/meo/MEO_0000978>	"research and technical development associated"		
<https://mdatahub.org/data/meo/MEO_0000979>	"factory"		
<https://mdatahub.org/data/meo/MEO_0000980>	"microbial electrolysis cell"		
<https://mdatahub.org/data/meo/MEO_0000981>	"fermenter"		
<https://mdatahub.org/data/meo/MEO_0000982>	"pilot plant"		
<https://mdatahub.org/data/meo/MEO_0000983>	"effluent of wastewater treatment plant"		
<https://mdatahub.org/data/meo/MEO_0000984>	"corbicular pollen"		
<https://mdatahub.org/data/meo/MEO_0000986>	"proctodeal segment"		
<https://mdatahub.org/data/meo/MEO_0000987>	"retroauricular crease"		
<https://mdatahub.org/data/meo/MEO_0000989>	"membrane"		
<https://mdatahub.org/data/meo/MEO_0000990>	"pockmark"		
<https://mdatahub.org/data/meo/MEO_0000991>	"back"		
<https://mdatahub.org/data/meo/MEO_0000992>	"hair follicle"		
<https://mdatahub.org/data/meo/MEO_0000993>	"mesentery"		
<https://mdatahub.org/data/meo/MEO_0000994>	"occiput"		
<https://mdatahub.org/data/meo/MEO_0000995>	"lower back"		
<https://mdatahub.org/data/meo/MEO_0000996>	"inguinal crease"		
<https://mdatahub.org/data/meo/MEO_0000997>	"microsize structure"		
<https://mdatahub.org/data/meo/MEO_0000998>	"acne vulgaris"		
<https://mdatahub.org/data/meo/MEO_0000999>	"drained thaw lake basin"		
<https://mdatahub.org/data/meo/MEO_0001000>	"kitchen floor"		
<https://mdatahub.org/data/meo/MEO_0001001>	"kitchen light switch"		
<https://mdatahub.org/data/meo/MEO_0001002>	"kitchen counter"		
<https://mdatahub.org/data/meo/MEO_0001003>	"euxinic lake"		
<https://mdatahub.org/data/meo/MEO_0001004>	"asphalt lake"		
<https://mdatahub.org/data/meo/MEO_0001006>	"ship associated"		
<https://mdatahub.org/data/meo/MEO_0001007>	"harbor"		
<https://mdatahub.org/data/meo/MEO_0001008>	"ballast tank"		
<https://mdatahub.org/data/meo/MEO_0001009>	"oil drilling associated"		
<https://mdatahub.org/data/meo/MEO_0001010>	"fracking fluid"		
<https://mdatahub.org/data/meo/MEO_0001012>	"mesenteric lymph node"		
<https://mdatahub.org/data/meo/MEO_0001013>	"mantel"		
<https://mdatahub.org/data/meo/MEO_0001014>	"drinking water pipe"		
<https://mdatahub.org/data/meo/MEO_0001015>	"drinking water distribution system"		
<https://mdatahub.org/data/meo/MEO_0001016>	"farmers market"		
<https://mdatahub.org/data/meo/MEO_0001017>	"pier"		
<https://mdatahub.org/data/meo/MEO_0001018>	"fish tank"		
<https://mdatahub.org/data/meo/MEO_0001019>	"oil refinery"		"a place where oil is refined"
<https://mdatahub.org/data/meo/MEO_0001020>	"Porifera associated"		
<https://mdatahub.org/data/meo/MEO_0001021>	"marine sponge"		
<https://mdatahub.org/data/meo/MEO_0001022>	"black smoker"		
<https://mdatahub.org/data/meo/MEO_0001023>	"fringing reef"		
<https://mdatahub.org/data/meo/MEO_0001024>	"barrier reef"		
<https://mdatahub.org/data/meo/MEO_0001025>	"atoll"		
<https://mdatahub.org/data/meo/MEO_0001026>	"deep fore reef"		
<https://mdatahub.org/data/meo/MEO_0001027>	"reef surface"		
<https://mdatahub.org/data/meo/MEO_0001028>	"p3 segment"		
<https://mdatahub.org/data/meo/MEO_0001029>	"oil deposit"		"reserves of petroleum found underground"
<https://mdatahub.org/data/meo/MEO_0001030>	"subseafloor zone"		
<https://mdatahub.org/data/meo/MEO_0001031>	"brine pool"		
<https://mdatahub.org/data/meo/MEO_0001032>	"pepperoni"		
<https://mdatahub.org/data/meo/MEO_0001033>	"hypersaline microbial mat"		
<https://mdatahub.org/data/meo/MEO_0001034>	"milk used for fontina cheese production"		
<https://mdatahub.org/data/meo/MEO_0001035>	"airway of mine"		
<https://mdatahub.org/data/meo/MEO_0001036>	"gassy mine"		
<https://mdatahub.org/data/meo/MEO_0001037>	"mud volcano"		
<https://mdatahub.org/data/meo/MEO_0001038>	"metalliferous mine tailing"		
<https://mdatahub.org/data/meo/MEO_0001039>	"glacial ground"		
<https://mdatahub.org/data/meo/MEO_0001040>	"ascending colon"		
<https://mdatahub.org/data/meo/MEO_0001041>	"descending colon"		
<https://mdatahub.org/data/meo/MEO_0001042>	"adductor muscle"		
<https://mdatahub.org/data/meo/MEO_0001043>	"babydiet"		
<https://mdatahub.org/data/meo/MEO_0001044>	"konjac"		
<https://mdatahub.org/data/meo/MEO_0001045>	"toasted oats cereal"		
<https://mdatahub.org/data/meo/MEO_0001046>	"cooked peeled shrimp"		
<https://mdatahub.org/data/meo/MEO_0001048>	"fore reef"		
<https://mdatahub.org/data/meo/MEO_0001049>	"reef flat"		
<https://mdatahub.org/data/meo/MEO_0001050>	"plant type"		
<https://mdatahub.org/data/meo/MEO_0001051>	"ectomycorrhizospheric soil"		
<https://mdatahub.org/data/meo/MEO_0001052>	"fungus garden"		
<https://mdatahub.org/data/meo/MEO_0001053>	"whale fall"		
<https://mdatahub.org/data/meo/MEO_0001054>	"algal bloom"		
<https://mdatahub.org/data/meo/MEO_0001055>	"blue-green algae"		
<https://mdatahub.org/data/meo/MEO_0001056>	"fossil"		
<https://mdatahub.org/data/meo/MEO_0001057>	"continuous culture biomass"		
<https://mdatahub.org/data/meo/MEO_0001058>	"internal sponge body"		
<https://mdatahub.org/data/meo/MEO_0001059>	"hypothenar palm"		
<https://mdatahub.org/data/meo/MEO_0001061>	"plasma"		
<https://mdatahub.org/data/meo/MEO_0001062>	"perennial grass"		
<https://mdatahub.org/data/meo/MEO_0001063>	"pitcher plant"		
<https://mdatahub.org/data/meo/MEO_0001064>	"activated carbon"		
<https://mdatahub.org/data/meo/MEO_0001065>	"granular activated carbon"		
<https://mdatahub.org/data/meo/MEO_0001067>	"log"		
<https://mdatahub.org/data/meo/MEO_0001068>	"root tip"		
<https://mdatahub.org/data/meo/MEO_0001069>	"lawn"		"ground (as around a house or in a garden or park) that is covered with grass and is kept mowed"
<https://mdatahub.org/data/meo/MEO_0001070>	"plantar heel"		
<https://mdatahub.org/data/meo/MEO_0001071>	"clogged arteries"		"Cholesterol plaques are the products of heart disease. Plaques begin in artery walls and grow over years. The growth of cholesterol plaques slowly blocks blood flow in the arteries."
<https://mdatahub.org/data/meo/MEO_0001072>	"intermediate salinity pond"		
<https://mdatahub.org/data/meo/MEO_0001073>	"artificial pond"		
<https://mdatahub.org/data/meo/MEO_0001074>	"industrial area"		
<https://mdatahub.org/data/meo/MEO_0001076>	"village"		
<https://mdatahub.org/data/meo/MEO_0001077>	"residential area"		
<https://mdatahub.org/data/meo/MEO_0001078>	"residential street"		
<https://mdatahub.org/data/meo/MEO_0001080>	"bacon"		
<https://mdatahub.org/data/meo/MEO_0001081>	"pork bacon dices"		
<https://mdatahub.org/data/meo/MEO_0001082>	"anammox reactor"		
<https://mdatahub.org/data/meo/MEO_0001084>	"bench-scale reactor"		
<https://mdatahub.org/data/meo/MEO_0001085>	"annular reactor"		
<https://mdatahub.org/data/meo/MEO_0001087>	"anaerobic reactor"		
<https://mdatahub.org/data/meo/MEO_0001088>	"batch reactor"		
<https://mdatahub.org/data/meo/MEO_0001090>	"anaerobic biomass"		
<https://mdatahub.org/data/meo/MEO_0001091>	"full-scale reactor"		
<https://mdatahub.org/data/meo/MEO_0001093>	"aerobic tank"		
<https://mdatahub.org/data/meo/MEO_0001098>	"biochemical reactor"		
<https://mdatahub.org/data/meo/MEO_0001099>	"biogas reactor"		
<https://mdatahub.org/data/meo/MEO_0001100>	"continuous culture bioreactor"		
<https://mdatahub.org/data/meo/MEO_0001101>	"continuously stirred tank reactor"		
<https://mdatahub.org/data/meo/MEO_0001102>	"lab-scale reactor"		
<https://mdatahub.org/data/meo/MEO_0001103>	"oolitic sand"		
<https://mdatahub.org/data/meo/MEO_0001104>	"membrane bioreactor"		
<https://mdatahub.org/data/meo/MEO_0001105>	"sponge reef"		
<https://mdatahub.org/data/meo/MEO_0001106>	"lung lower airway"		
<https://mdatahub.org/data/meo/MEO_0001107>	"rhizoplane"		
<https://mdatahub.org/data/meo/MEO_0001108>	"bulk soil"		
<https://mdatahub.org/data/meo/MEO_0001109>	"flooded rice paddy"		
<https://mdatahub.org/data/meo/MEO_0001110>	"river plume"		
<https://mdatahub.org/data/meo/MEO_0001111>	"outcropped"		
<https://mdatahub.org/data/meo/MEO_0001112>	"bedrock"		
<https://mdatahub.org/data/meo/MEO_0001113>	"crystalline bedrock"		
<https://mdatahub.org/data/meo/MEO_0001114>	"crystalline bedrock fracture"		
<https://mdatahub.org/data/meo/MEO_0001115>	"metamorphic rock"		
<https://mdatahub.org/data/meo/MEO_0001116>	"plutonic rock"		
<https://mdatahub.org/data/meo/MEO_0001117>	"granite"		
<https://mdatahub.org/data/meo/MEO_0001118>	"gravel"		"Composed rounded rock"
<https://mdatahub.org/data/meo/MEO_0001119>	"fermentation reactor"		
<https://mdatahub.org/data/meo/MEO_0001120>	"freshwater river"		
<https://mdatahub.org/data/meo/MEO_0001121>	"laboratory"		
<https://mdatahub.org/data/meo/MEO_0001122>	"office building"		
<https://mdatahub.org/data/meo/MEO_0001123>	"respiratory care center"		
<https://mdatahub.org/data/meo/MEO_0001124>	"greenhouse"		
<https://mdatahub.org/data/meo/MEO_0001125>	"hospital"		
<https://mdatahub.org/data/meo/MEO_0001126>	"supermarket"		
<https://mdatahub.org/data/meo/MEO_0001127>	"ceremetery"		
<https://mdatahub.org/data/meo/MEO_0001128>	"hypersaline lake"		
<https://mdatahub.org/data/meo/MEO_0001129>	"hypersaline pond"		
<https://mdatahub.org/data/meo/MEO_0001130>	"salt crystallizer pond"		
<https://mdatahub.org/data/meo/MEO_0001131>	"polyhaline sediment"		
<https://mdatahub.org/data/meo/MEO_0001132>	"oil sand"		
<https://mdatahub.org/data/meo/MEO_0001133>	"continental slope"		
<https://mdatahub.org/data/meo/MEO_0001134>	"continental margin"		
<https://mdatahub.org/data/meo/MEO_0001135>	"abyssal plain"		
<https://mdatahub.org/data/meo/MEO_0001136>	"mixed layer"		
<https://mdatahub.org/data/meo/MEO_0001137>	"marine station"		
<https://mdatahub.org/data/meo/MEO_0001138>	"continental shelf"		
<https://mdatahub.org/data/meo/MEO_0001139>	"filtered sea water"		
<https://mdatahub.org/data/meo/MEO_0001140>	"groundwater sediment"		
<https://mdatahub.org/data/meo/MEO_0001141>	"bog sediment"		
<https://mdatahub.org/data/meo/MEO_0001142>	"bulk sediment"		
<https://mdatahub.org/data/meo/MEO_0001143>	"freshwater sediment"		
<https://mdatahub.org/data/meo/MEO_0001144>	"granular sediment"		
<https://mdatahub.org/data/meo/MEO_0001145>	"mesohaline sediment"		
<https://mdatahub.org/data/meo/MEO_0001146>	"influent"		
<https://mdatahub.org/data/meo/MEO_0001147>	"anaerobic sewage sludge"		
<https://mdatahub.org/data/meo/MEO_0001148>	"digested sludge"		
<https://mdatahub.org/data/meo/MEO_0001149>	"hydrolytic upflow sludge bed"		
<https://mdatahub.org/data/meo/MEO_0001150>	"anaerobic sludge"		
<https://mdatahub.org/data/meo/MEO_0001151>	"excess sludge"		
<https://mdatahub.org/data/meo/MEO_0001152>	"mesophilic sludge"		
<https://mdatahub.org/data/meo/MEO_0001153>	"bioelectrochemical system"		
<https://mdatahub.org/data/meo/MEO_0001154>	"rain-fed soil"		
<https://mdatahub.org/data/meo/MEO_0001155>	"mineral soil"		
<https://mdatahub.org/data/meo/MEO_0001156>	"currency"		
<https://mdatahub.org/data/meo/MEO_0001157>	"decanter"		
<https://mdatahub.org/data/meo/MEO_0001158>	"pipe"		
<https://mdatahub.org/data/meo/MEO_0001159>	"hydrant"		"an upright pipe with a spout, nozzle, or other outlet, usually in the street, for drawing water from a main or service pipe, especially for fighting fires."
<https://mdatahub.org/data/meo/MEO_0001160>	"membrane filter"		
<https://mdatahub.org/data/meo/MEO_0001161>	"biological soil crust"		"Biological soil crusts are communities of living organisms on the soil surface in arid- and semi-arid ecosystems."
<https://mdatahub.org/data/meo/MEO_0001162>	"perturbed soil"		
<https://mdatahub.org/data/meo/MEO_0001163>	"calcisol"		
<https://mdatahub.org/data/meo/MEO_0001164>	"ferralsol"		
<https://mdatahub.org/data/meo/MEO_0001165>	"meadow"		"a tract of grassland used for pasture or serving as a hayfield."
<https://mdatahub.org/data/meo/MEO_0001166>	"polygon soil"		
<https://mdatahub.org/data/meo/MEO_0001167>	"reclaimed soil"		
<https://mdatahub.org/data/meo/MEO_0001168>	"sterilized soil"		
<https://mdatahub.org/data/meo/MEO_0001169>	"dune crest"		
<https://mdatahub.org/data/meo/MEO_0001170>	"cold seep"		
<https://mdatahub.org/data/meo/MEO_0001171>	"stomach pouch"		
<https://mdatahub.org/data/meo/MEO_0001172>	"stomach gastric antrum"		
<https://mdatahub.org/data/meo/MEO_0001173>	"stomach gastric body"		
<https://mdatahub.org/data/meo/MEO_0001174>	"stomach remnant"		
<https://mdatahub.org/data/meo/MEO_0001175>	"forestomach"		
<https://mdatahub.org/data/meo/MEO_0001176>	"artificial stream"		
<https://mdatahub.org/data/meo/MEO_0001177>	"freshwater stream"		
<https://mdatahub.org/data/meo/MEO_0001178>	"artificial microbial community"		
<https://mdatahub.org/data/meo/MEO_0001179>	"continuous cultured"		
<https://mdatahub.org/data/meo/MEO_0001182>	"tooth root"		
<https://mdatahub.org/data/meo/MEO_0001183>	"mid vagina"		
<https://mdatahub.org/data/meo/MEO_0001184>	"fumarole"		
<https://mdatahub.org/data/meo/MEO_0001185>	"vaginal introitus"		
<https://mdatahub.org/data/meo/MEO_0001186>	"solid waste"		
<https://mdatahub.org/data/meo/MEO_0001187>	"decomposed litter"		
<https://mdatahub.org/data/meo/MEO_0001188>	"debris"		
<https://mdatahub.org/data/meo/MEO_0001189>	"plastic debris"		
<https://mdatahub.org/data/meo/MEO_0001190>	"bio-dried substrate"		
<https://mdatahub.org/data/meo/MEO_0001191>	"produced water"		
<https://mdatahub.org/data/meo/MEO_0001192>	"anaerobic digester"		
<https://mdatahub.org/data/meo/MEO_0001193>	"hydrolytic digester"		
<https://mdatahub.org/data/meo/MEO_0001194>	"mesophilic digester"		
<https://mdatahub.org/data/meo/MEO_0001195>	"biofilter"		
<https://mdatahub.org/data/meo/MEO_0001197>	"digester"		
<https://mdatahub.org/data/meo/MEO_0001199>	"animal surrounding water"		
<https://mdatahub.org/data/meo/MEO_0001200>	"borehole water"		
<https://mdatahub.org/data/meo/MEO_0001201>	"culture water"		
<https://mdatahub.org/data/meo/MEO_0001202>	"filter for waste treatment"		
<https://mdatahub.org/data/meo/MEO_0001203>	"biodigester"		
<https://mdatahub.org/data/meo/MEO_0001204>	"closed biodigester"		
<https://mdatahub.org/data/meo/MEO_0001205>	"anoxic water"		
<https://mdatahub.org/data/meo/MEO_0001206>	"subglacial discharge"		
<https://mdatahub.org/data/meo/MEO_0001207>	"freshwater wetland"		
<https://mdatahub.org/data/meo/MEO_0001208>	"artificial wetland"		
<https://mdatahub.org/data/meo/MEO_0001211>	"chaparral"		"a thicket of dwarf evergreen oaks; broadly :  a dense impenetrable thicket of shrubs or dwarf trees."
<https://mdatahub.org/data/meo/MEO_0001212>	"decay wood"		
<https://mdatahub.org/data/meo/MEO_0001213>	"deciduous woodland"		
<https://mdatahub.org/data/meo/MEO_0001214>	"managed aquifer recharge system"		
<https://mdatahub.org/data/meo/MEO_0001215>	"deciduous thicket"		
<https://mdatahub.org/data/meo/MEO_0001216>	"arid shrubland"		
<https://mdatahub.org/data/meo/MEO_0001217>	"oil spill"		
<https://mdatahub.org/data/meo/MEO_0001219>	"pipeline"		
<https://mdatahub.org/data/meo/MEO_0001221>	"anterior part of elbow"		
<https://mdatahub.org/data/meo/MEO_0001222>	"scrub"		
<https://mdatahub.org/data/meo/MEO_0001223>	"alveolar bone"		
<https://mdatahub.org/data/meo/MEO_0001224>	"rib bone"		
<https://mdatahub.org/data/meo/MEO_0001225>	"brine-seawater interface"		
<https://mdatahub.org/data/meo/MEO_0001226>	"roadside"		
<https://mdatahub.org/data/meo/MEO_0001227>	"manubrium"		
<https://mdatahub.org/data/meo/MEO_0001228>	"anode of microbial fuel cell"		
<https://mdatahub.org/data/meo/MEO_0001229>	"cathode of microbial fuel cell"		
<https://mdatahub.org/data/meo/MEO_0001230>	"backwash material"		
<https://mdatahub.org/data/meo/MEO_0001231>	"bog"		"Peat accumulation usually dominated by moss. Receives only direct precipitation; characterized by acid water, low alkalinity, and low nutrients."
<https://mdatahub.org/data/meo/MEO_0001232>	"freshwater bog"		
<https://mdatahub.org/data/meo/MEO_0001233>	"quaking bog"		
<https://mdatahub.org/data/meo/MEO_0001234>	"blanket bog"		
<https://mdatahub.org/data/meo/MEO_0001235>	"swamp"		"Characterized by forest, shrub, or reed cover (fen). Particularly a forested wetland in North America. Depends on nutrient-rich ground water derived from mineral soils."
<https://mdatahub.org/data/meo/MEO_0001236>	"flood plain"		
<https://mdatahub.org/data/meo/MEO_0001237>	"backswamp"		
<https://mdatahub.org/data/meo/MEO_0001238>	"fen"		"characterised by their water chemistry, which is pH neutral or alkaline, with relatively high dissolved mineral levels but few other plant nutrients.Peat accumulation; may be dominated by sedge, reed, shrub or forest. Receives some surface runoff and/or ground water, which has neutral pH and moderate to high nutrients."
<https://mdatahub.org/data/meo/MEO_0001239>	"mire"		"Used mainly in Europe to include any peat-forming wetland (bog or fen)."
<https://mdatahub.org/data/meo/MEO_0001240>	"Component for environment"		"microorganism habitable environment that is being in a lot of environments"
<https://mdatahub.org/data/meo/MEO_0001241>	"State"		
<https://mdatahub.org/data/meo/MEO_0001242>	"temperature state"		
<https://mdatahub.org/data/meo/MEO_0001243>	"hydrogen power state"		
<https://mdatahub.org/data/meo/MEO_0001244>	"humidity state"		
<https://mdatahub.org/data/meo/MEO_0001245>	"salinity state"		
<https://mdatahub.org/data/meo/MEO_0001246>	"redox state"		
<https://mdatahub.org/data/meo/MEO_0001247>	"hot"		
<https://mdatahub.org/data/meo/MEO_0001248>	"cold"		
<https://mdatahub.org/data/meo/MEO_0001249>	"fresh"		
<https://mdatahub.org/data/meo/MEO_0001250>	"saline"		
<https://mdatahub.org/data/meo/MEO_0001251>	"natural / artificial"		
<https://mdatahub.org/data/meo/MEO_0001252>	"brackish"		
<https://mdatahub.org/data/meo/MEO_0001253>	"hyper salinity"		
<https://mdatahub.org/data/meo/MEO_0001254>	"salt crystallizer"		
<https://mdatahub.org/data/meo/MEO_0001255>	"latitude classification"		
<https://mdatahub.org/data/meo/MEO_0001256>	"arctic"		
<https://mdatahub.org/data/meo/MEO_0001257>	"arid"		
<https://mdatahub.org/data/meo/MEO_0001258>	"xeric"		
<https://mdatahub.org/data/meo/MEO_0001259>	"humid"		
<https://mdatahub.org/data/meo/MEO_0001260>	"moist"		
<https://mdatahub.org/data/meo/MEO_0001261>	"oxidative"		
<https://mdatahub.org/data/meo/MEO_0001262>	"reductive"		
<https://mdatahub.org/data/meo/MEO_0001263>	"natural"		
<https://mdatahub.org/data/meo/MEO_0001264>	"artificial"		
<https://mdatahub.org/data/meo/MEO_0001265>	"food freshness"		
<https://mdatahub.org/data/meo/MEO_0001266>	"food-poisoned"		
<https://mdatahub.org/data/meo/MEO_0001267>	"antarctic"		
<https://mdatahub.org/data/meo/MEO_0001268>	"acidic"		
<https://mdatahub.org/data/meo/MEO_0001269>	"alkaline"		
<https://mdatahub.org/data/meo/MEO_0001270>	"neutral"		
<https://mdatahub.org/data/meo/MEO_0001271>	"plant productive state"		
<https://mdatahub.org/data/meo/MEO_0001272>	"arable"		
<https://mdatahub.org/data/meo/MEO_0001273>	"barren"		
<https://mdatahub.org/data/meo/MEO_0001274>	"polar"		
<https://mdatahub.org/data/meo/MEO_0001275>	"warm"		
<https://mdatahub.org/data/meo/MEO_0001276>	"relative size"		
<https://mdatahub.org/data/meo/MEO_0001277>	"anatomical location"		
<https://mdatahub.org/data/meo/MEO_0001278>	"left-hand side of host"		
<https://mdatahub.org/data/meo/MEO_0001279>	"right-hand side of host"		
<https://mdatahub.org/data/meo/MEO_0001280>	"anterior"		
<https://mdatahub.org/data/meo/MEO_0001281>	"posterior"		
<https://mdatahub.org/data/meo/MEO_0001282>	"superior"		
<https://mdatahub.org/data/meo/MEO_0001283>	"inferior"		
<https://mdatahub.org/data/meo/MEO_0001284>	"Position toward environment"		
<https://mdatahub.org/data/meo/MEO_0001285>	"surface"		
<https://mdatahub.org/data/meo/MEO_0001286>	"season"		
<https://mdatahub.org/data/meo/MEO_0001287>	"spring season"		
<https://mdatahub.org/data/meo/MEO_0001288>	"summer season"		
<https://mdatahub.org/data/meo/MEO_0001289>	"autumn season"		
<https://mdatahub.org/data/meo/MEO_0001290>	"winter season"		
<https://mdatahub.org/data/meo/MEO_0001291>	"intermediate salinity"		
<https://mdatahub.org/data/meo/MEO_0001292>	"animal-human relationship"		
<https://mdatahub.org/data/meo/MEO_0001293>	"livestock"		
<https://mdatahub.org/data/meo/MEO_0001294>	"wild"		
<https://mdatahub.org/data/meo/MEO_0001295>	"companion animal"		
<https://mdatahub.org/data/meo/MEO_0001296>	"equatorial"		
<https://mdatahub.org/data/meo/MEO_0001297>	"relative area size"		
<https://mdatahub.org/data/meo/MEO_0001298>	"small"		
<https://mdatahub.org/data/meo/MEO_0001299>	"large"		
<https://mdatahub.org/data/meo/MEO_0001300>	"relative length"		
<https://mdatahub.org/data/meo/MEO_0001301>	"short"		
<https://mdatahub.org/data/meo/MEO_0001302>	"long"		
<https://mdatahub.org/data/meo/MEO_0001303>	"oxygen containing state"		
<https://mdatahub.org/data/meo/MEO_0001304>	"male"		
<https://mdatahub.org/data/meo/MEO_0001305>	"female"		
<https://mdatahub.org/data/meo/MEO_0001306>	"sex"		
<https://mdatahub.org/data/meo/MEO_0001309>	"experimental operation state"		
<https://mdatahub.org/data/meo/MEO_0001310>	"cultured"		
<https://mdatahub.org/data/meo/MEO_0001311>	"sterilized"		
<https://mdatahub.org/data/meo/MEO_0001312>	"volcanic ash"		
<https://mdatahub.org/data/meo/MEO_0001313>	"halinity state"		
<https://mdatahub.org/data/meo/MEO_0001314>	"hyperhaline"		
<https://mdatahub.org/data/meo/MEO_0001315>	"metahaline"		
<https://mdatahub.org/data/meo/MEO_0001316>	"mixoeuhaline"		
<https://mdatahub.org/data/meo/MEO_0001317>	"polyhaline"		
<https://mdatahub.org/data/meo/MEO_0001318>	"mesohaline"		
<https://mdatahub.org/data/meo/MEO_0001319>	"oligohaline"		
<https://mdatahub.org/data/meo/MEO_0001320>	"relative state toward transverse plane"		
<https://mdatahub.org/data/meo/MEO_0001321>	"relative state toward sagittal plane"		
<https://mdatahub.org/data/meo/MEO_0001322>	"relative state toward coronal plane"		
<https://mdatahub.org/data/meo/MEO_0001323>	"serpentinite"		
<https://mdatahub.org/data/meo/MEO_0001324>	"water body classification by light"		
<https://mdatahub.org/data/meo/MEO_0001325>	"photic zone"		
<https://mdatahub.org/data/meo/MEO_0001326>	"euphotic zone"		
