?class	?labels	?synonyms	?definitions
<https://mdatahub.org/data/meo/MEO_0000096>	"continental divide"		"A watershed such that water falling on one side of the line eventually travels to one ocean or body of water, and water on the other side travels to another, generally on the opposite side of the continent."
<https://mdatahub.org/data/meo/MEO_0000097>	"national park"		"A reserve of land, usually, but not always declared and owned by a national government, protected from most human development and pollution. National parks are a protected area of IUCN category II."
<https://mdatahub.org/data/meo/MEO_0000098>	"strait"		"A narrow channel of water that connects two larger bodies of water, and thus lies between two land masses."
<https://mdatahub.org/data/meo/MEO_0000099>	"channel"		"A broad channel of water that connects two larger bodies of water, and thus lies between two land masses.The difference from strait is availability of crusing ship."
<https://mdatahub.org/data/meo/MEO_0000100>	"marine channel"		"A broad channel of water that connects two larger bodies of water, and thus lies between two land masses.The difference from strait is availability of crusing ship."
<https://mdatahub.org/data/meo/MEO_0000101>	"terrestrial biome"		
<https://mdatahub.org/data/meo/MEO_0000102>	"marine biome"		
<https://mdatahub.org/data/meo/MEO_0000103>	"terrace"		"A step-like feature between higher and lower ground: a relatively flat or gently inclined shelf of earth, backed and fronted by steep slopes or manmade detaining walls."
<https://mdatahub.org/data/meo/MEO_0000104>	"arboreal habitat"		
<https://mdatahub.org/data/meo/MEO_0000105>	"subterrestrial zone"		"A habitat that is below the surface of the earth."
<https://mdatahub.org/data/meo/MEO_0000106>	"city"		"Incorporated populated place."
<https://mdatahub.org/data/meo/MEO_0000107>	"freshwater biome"		
<https://mdatahub.org/data/meo/MEO_0000108>	"tundra biome"		
<https://mdatahub.org/data/meo/MEO_0000109>	"temperate grasslands, savannas, and shrubland biome"		
<https://mdatahub.org/data/meo/MEO_0000110>	"small river biome"		
<https://mdatahub.org/data/meo/MEO_0000111>	"small lake biome"		
<https://mdatahub.org/data/meo/MEO_0000112>	"rock"		"A mass of the mineral material of the crust of the Earth."
<https://mdatahub.org/data/meo/MEO_0000113>	"waste"		
<https://mdatahub.org/data/meo/MEO_0000114>	"aquatic biome"		
<https://mdatahub.org/data/meo/MEO_0000115>	"anthropogenic habitat"		"A habitat that is in or on an environmental feature or material derived from human activity."
<https://mdatahub.org/data/meo/MEO_0000116>	"biofilm"		"A complex aggregation of microorganisms marked by the excretion of a protective and adhesive matrix; usually adhering to a substratum. Material derived from a biofilm, an aggregate of microorganisms in which cells adhere to each other and/or to a surface. These adherent cells are frequently embedded within a self-produced matrix of extracellular polymeric substance (EPS). Biofilm EPS, which is also referred to as slime, is a polymeric conglomeration generally composed of extracellular DNA, proteins, and polysaccharides in various configurations. Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments. A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between different types of material, mostly on submerged or moist surfaces but a few survive in deserts."
<https://mdatahub.org/data/meo/MEO_0000117>	"surface water"		"Surface water is water collecting on the ground or in a stream, river, lake, wetland, or ocean; it is related to water collecting as groundwater or atmospheric water."
<https://mdatahub.org/data/meo/MEO_0000118>	"wastewater treatment plant"		"A wastewater treatment plant (WWTP) is an industrial structure designed to remove biological or chemical waste products from water, thereby permitting the treated water to be used for other purposes. "
<https://mdatahub.org/data/meo/MEO_0000119>	"bioreactor"		"A bioreactor may refer to any manufactured or engineered device or system that supports a biologically active environment."
<https://mdatahub.org/data/meo/MEO_0000120>	"anaerobic bioreactor"		
<https://mdatahub.org/data/meo/MEO_0000121>	"calcite hot spring"		
<https://mdatahub.org/data/meo/MEO_0000122>	"coastal water"		"Coastal water is a marine water body bordering a coast."
<https://mdatahub.org/data/meo/MEO_0000123>	"sea ice"		"Sea ice is frozen seawater. "
<https://mdatahub.org/data/meo/MEO_0000124>	"anthrosol"		"Anthrosols comprise soils that have been modified profoundly through human activities, such as addition of organic materials or household wastes, irrigation and cultivation."
<https://mdatahub.org/data/meo/MEO_0000125>	"agricultural soil"		
<https://mdatahub.org/data/meo/MEO_0000126>	"forest soil"		
<https://mdatahub.org/data/meo/MEO_0000127>	"clay soil"		
<https://mdatahub.org/data/meo/MEO_0000128>	"oil contaminated soil"		
<https://mdatahub.org/data/meo/MEO_0000129>	"clay"		"A group of hydrous aluminium phyllosilicate (phyllosilicates being a subgroup of silicate minerals) minerals (see clay minerals), that are typically less than 2micrometres in diameter. Clay consists of a variety of phyllosilicate minerals rich in silicon and aluminium oxides and hydroxides which include variable amounts of structural water."
<https://mdatahub.org/data/meo/MEO_0000130>	"rainforest division"		
<https://mdatahub.org/data/meo/MEO_0000131>	"food processing factory"		
<https://mdatahub.org/data/meo/MEO_0000132>	"anaerobic digester sludge"		
<https://mdatahub.org/data/meo/MEO_0000133>	"greenhouse soil"		
<https://mdatahub.org/data/meo/MEO_0000134>	"underground water"		
<https://mdatahub.org/data/meo/MEO_0000135>	"lake bottom mud"		
<https://mdatahub.org/data/meo/MEO_0000136>	"microbial feature"		
<https://mdatahub.org/data/meo/MEO_0000137>	"microbial mat"		"A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between different types of material, mostly on submerged or moist surfaces but a few survive in deserts."
<https://mdatahub.org/data/meo/MEO_0000138>	"biotic mesoscopic physical object"		
<https://mdatahub.org/data/meo/MEO_0000139>	"fermented food product"		
<https://mdatahub.org/data/meo/MEO_0000140>	"ocean biome"		
<https://mdatahub.org/data/meo/MEO_0000141>	"marine coral reef biome"		
<https://mdatahub.org/data/meo/MEO_0000142>	"marine hydrothermal vent chimney"		
<https://mdatahub.org/data/meo/MEO_0000143>	"thermophilic sediment"		"Sediment characterised by a temperature of 45-75 degrees Celsius and low to no oxygen content. Often impacted by hydrothermal fluid flows."
<https://mdatahub.org/data/meo/MEO_0000144>	"hydrothermal fluid"		"High temperature water ejected from hydrothermal vents and laden with dissolved metals and minerals as a result of percolation through crustal rocks."
<https://mdatahub.org/data/meo/MEO_0000145>	"biofilm material"		"Material derived from a biofilm, an aggregate of microorganisms in which cells adhere to each other and/or to a surface. These adherent cells are frequently embedded within a self-produced matrix of extracellular polymeric substance (EPS). Biofilm EPS, which is also referred to as slime, is a polymeric conglomeration generally composed of extracellular DNA, proteins, and polysaccharides in various configurations."
<https://mdatahub.org/data/meo/MEO_0000146>	"microbial mat material"		"Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments."
<https://mdatahub.org/data/meo/MEO_0000147>	"root nodule"		"Root nodules occur on the roots of plants that associate with symbiotic nitrogen-fixing bacteria."
<https://mdatahub.org/data/meo/MEO_0000148>	"mucus"		"Mucus is a bodily fluid consisting of a slippery secretion of the lining of the mucous membranes in the body. It is a viscous colloid containing antiseptic enzymes (such as lysozyme) and immunoglobulins. Mucus is produced by goblet cells in the mucous membranes that cover the surfaces of the membranes. It is made up of mucins and inorganic salts suspended in water. Portion of secreted substance produced by a mucous gland or goblet cell."
<https://mdatahub.org/data/meo/MEO_0000149>	"coastal water body"		
<https://mdatahub.org/data/meo/MEO_0000150>	"plain"		"A region of general uniform slope, comparatively level, and of considerable extent."
<https://mdatahub.org/data/meo/MEO_0000151>	"wetland"		"An area that is inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions."
<https://mdatahub.org/data/meo/MEO_0000152>	"populated place"		"Place or area with clustered or scattered buildings and a permanent human population."
<https://mdatahub.org/data/meo/MEO_0000153>	"park"		"A bounded area of land, or water, usually in its natural or semi-natural (landscaped) state and set aside for some purpose, usually to do with recreation or conservation."
<https://mdatahub.org/data/meo/MEO_0000154>	"waste treatment plant"		
<https://mdatahub.org/data/meo/MEO_0000155>	"mine drainage"		"The outflow of water from a mine."
<https://mdatahub.org/data/meo/MEO_0000156>	"coastal inlet"		"An opening of the sea into the land."
<https://mdatahub.org/data/meo/MEO_0000157>	"inlet"		"An opening of the sea into the land, or of a lake into its shore."
<https://mdatahub.org/data/meo/MEO_0000158>	"watercourse"		"A flowing body of water."
<https://mdatahub.org/data/meo/MEO_0000159>	"ocean water"		
<https://mdatahub.org/data/meo/MEO_0000160>	"watershed"		"The separation between neighbouring drainage basins (catchments). In hilly country, the divide lies along topographical peaks and ridges, but in flat country or on a high plateau (especially where the ground is marshy) the divide may be invisible - just a more or less notional line on the ground on either side of which falling raindrops will start a journey to different rivers, and even to different sides of a country or continent."
<https://mdatahub.org/data/meo/MEO_0000161>	"marine reef"		
<https://mdatahub.org/data/meo/MEO_0000162>	"marine benthic feature"		
<https://mdatahub.org/data/meo/MEO_0000163>	"marine feature"		
<https://mdatahub.org/data/meo/MEO_0000164>	"coastal wetland"		"A wetland associated with the part of the land adjoining or near a sea or ocean."
<https://mdatahub.org/data/meo/MEO_0000165>	"volcano associated feature"		
<https://mdatahub.org/data/meo/MEO_0000166>	"leachate"		"The liquid produced when water percolates through any permeable material. It can contain either dissolved or suspended material, or usually both."
<https://mdatahub.org/data/meo/MEO_0000167>	"marine reef biome"		
<https://mdatahub.org/data/meo/MEO_0000168>	"marine benthic biome"		
<https://mdatahub.org/data/meo/MEO_0000169>	"marine water body"		
<https://mdatahub.org/data/meo/MEO_0000170>	"glacier"		"n extended mass of ice formed from snow falling and accumulating over the years and moving very slowly, either descending from high mountains, as in valley glaciers, or moving outward from centers of accumulation, as in continental glaciers."
<https://mdatahub.org/data/meo/MEO_0000171>	"organic material"		
<https://mdatahub.org/data/meo/MEO_0000172>	"mesoscopic physical object"		"An environmental feature that is, or can be, contained and is predominantly composed of one or a few types of stuff."
<https://mdatahub.org/data/meo/MEO_0000173>	"bodily fluid"		"A natural bodily fluid or secretion such as blood, semen, saliva, blood plasma, intracellular and interstitial fluids. Material anatomical entity in a gaseous, liquid, semisolid or solid state, with or without the admixture of cells and biological macromolecules; produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures. Examples: saliva, semen, cerebrospinal fluid, respiratory air, urine, feces, blood, plasma, lymph."
<https://mdatahub.org/data/meo/MEO_0000174>	"organic feature"		
<https://mdatahub.org/data/meo/MEO_0000175>	"foundamental organ"		"A collection of tissues joined in structural unit to serve a common function."
<https://mdatahub.org/data/meo/MEO_0000176>	"excreta"		"Waste matter, such as sweat, urine, or feces, discharged from the body."
<https://mdatahub.org/data/meo/MEO_0000177>	"saline lake"		"A lake whose water contains a considerable concentration of dissolved salts."
<https://mdatahub.org/data/meo/MEO_0000178>	"estuarine"		"Expressions of the estuarine biome occur at wide lower courses of a rivers where they flows into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt."
<https://mdatahub.org/data/meo/MEO_0000180>	"agricultural feature"		
<https://mdatahub.org/data/meo/MEO_0000181>	"aquifer"		"An underground layer of water-bearing permeable rock or unconsolidated materials (gravel, sand, silt, or clay) from which groundwater can be usefully extracted using a water well."
<https://mdatahub.org/data/meo/MEO_0000182>	"cliff"		"A high, steep, or overhanging face of rock."
<https://mdatahub.org/data/meo/MEO_0000183>	"cold temperature habitat"		
<https://mdatahub.org/data/meo/MEO_0000184>	"subtropical"		
<https://mdatahub.org/data/meo/MEO_0000185>	"subtropical division"		
<https://mdatahub.org/data/meo/MEO_0000186>	"temperate broadleaf and mixed forest biome"		
<https://mdatahub.org/data/meo/MEO_0000187>	"tropical and subtropical grasslands, savannas, and shrubland biome"		
<https://mdatahub.org/data/meo/MEO_0000188>	"xeric shrubland biome"		
<https://mdatahub.org/data/meo/MEO_0000189>	"saline lake sediment"		
<https://mdatahub.org/data/meo/MEO_0000190>	"acidic volcanic ash"		
<https://mdatahub.org/data/meo/MEO_0000191>	"arable soil"		"being or capable of being tilled for the production of crops"
<https://mdatahub.org/data/meo/MEO_0000192>	"beach sand"		
<https://mdatahub.org/data/meo/MEO_0000193>	"beech forest soil"		
<https://mdatahub.org/data/meo/MEO_0000194>	"black sand"		"Black sand is sand that is black in color. "
<https://mdatahub.org/data/meo/MEO_0000195>	"coastal sand"		
<https://mdatahub.org/data/meo/MEO_0000196>	"desert"		"A region rendered barren or partially barren by environmental extremes, especially by low rainfall."
<https://mdatahub.org/data/meo/MEO_0000197>	"farm soil"		
<https://mdatahub.org/data/meo/MEO_0000198>	"field soil"		
<https://mdatahub.org/data/meo/MEO_0000199>	"grassland soil"		
<https://mdatahub.org/data/meo/MEO_0000200>	"humus"		"Organic matter in soil which has reached a point of stability, where it will break down no further and might, if conditions do not change, remain essentially as it is for centuries, or millennia."
<https://mdatahub.org/data/meo/MEO_0000201>	"moraine"		"An accumulation of boulders, stones, or other debris carried and deposited by a glacier."
<https://mdatahub.org/data/meo/MEO_0000202>	"pasture"		"grassland used for grazing of ungulate livestock as part of a farm or ranch."
<https://mdatahub.org/data/meo/MEO_0000203>	"pasture soil"		
<https://mdatahub.org/data/meo/MEO_0000204>	"peat soil"		
<https://mdatahub.org/data/meo/MEO_0000205>	"sand"		"A naturally occurring granular material composed of finely divided rock and mineral particles."
<https://mdatahub.org/data/meo/MEO_0000206>	"sand ball"		
<https://mdatahub.org/data/meo/MEO_0000207>	"woodland"		"Land having a cover of trees, shrubs, or both."
<https://mdatahub.org/data/meo/MEO_0000208>	"livestock feed"		"Animal feed is a biotic mesoscopic physical object consisting of any foodstuff that is used specifically to feed domesticated livestock, such as cattle, goats, sheep, horses, chickens and pigs. Most animal feed is from plants but some is of animal origin. Fodder refers particularly to food given to the animals (including plants cut and carried to them), rather than that which they forage for themselves. It includes hay, straw, silage, compressed and pelleted feeds, oils and mixed rations, and also sprouted grains and legumes."
<https://mdatahub.org/data/meo/MEO_0000209>	"apple juice"		"Apple juice is a fruit juice made by the maceration and pressing of apples."
<https://mdatahub.org/data/meo/MEO_0000210>	"awamori koji"		
<https://mdatahub.org/data/meo/MEO_0000211>	"bagasse"		"The biomass remaining after sugarcane stalks are crushed to extract their juice."
<https://mdatahub.org/data/meo/MEO_0000212>	"bantu beer"		"Millet beer, also known as Bantu beer, kaffir beer, or opaque beer, is an alcoholic beverage made from malted millet. This type of beer is common throughout Africa."
<https://mdatahub.org/data/meo/MEO_0000213>	"bovine meat product"		"Meat from bovines, especially domestic cattle (cows)."
<https://mdatahub.org/data/meo/MEO_0000214>	"beer"		"Beer is an alcoholic beverage produced by the saccharification of starch and fermentation of the resulting sugar. "
<https://mdatahub.org/data/meo/MEO_0000215>	"kuro koji"		
<https://mdatahub.org/data/meo/MEO_0000216>	"blue cheese"		"A class of cow's milk, sheep's milk, or goat's milk cheeses that have had Penicillium cultures added so that the final product is spotted or veined throughout with blue, blue-gray or blue-green mould, and carries a distinct smell."
<https://mdatahub.org/data/meo/MEO_0000217>	"bonifaz cheese"		
<https://mdatahub.org/data/meo/MEO_0000218>	"bottled fruit product"		
<https://mdatahub.org/data/meo/MEO_0000219>	"brie cheese"		"A large disc of smooth, soft, even runny cheese made with cow's milk."
<https://mdatahub.org/data/meo/MEO_0000220>	"brine"		"Brine is a solution of salt in water. It is used to preserve vegetables, fruit, fish and meat in a process known as brining."
<https://mdatahub.org/data/meo/MEO_0000221>	"butter"		"A food made by churning fresh or fermented cream or milk."
<https://mdatahub.org/data/meo/MEO_0000222>	"buttermilk"		"The liquid left over after producing butter from cream during the churning process."
<https://mdatahub.org/data/meo/MEO_0000223>	"cambozola cheese"		"Cambozola is a cow's milk cheese that is a combination of a French soft-ripened triple cream cheese and Italian Gorgonzola."
<https://mdatahub.org/data/meo/MEO_0000224>	"camembert cheese"		"Camembert is a soft, creamy, surface-ripened cow's milk cheese. "
