?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/gmo/GMO_001023>	"Zinc sulfate heptahydrate | 硫酸亜鉛七水和物"		
<http://purl.jp/bio/10/gmo/GMO_001024>	"Copper(II) chloride dihydrate | 塩化銅(II)二水和物"	"Cupric chloride dihydrate"	
<http://purl.jp/bio/10/gmo/GMO_001025>	"ビオチン | Biotin"	"Vitamin H | Vitamin B7 | Coenzyme R"	"Biotin is a water-soluble B Vitamin."
<http://purl.jp/bio/10/gmo/GMO_001026>	"4-Aminobenzoic acid | 4-アミノ安息香酸"	"para-aminobenzoic acid | PABA | パラアミノ安息香酸"	"4-Aminobenzoic acid"
<http://purl.jp/bio/10/gmo/GMO_001027>	"Thiamine hydrochloride | 塩酸チアミン"		
<http://purl.jp/bio/10/gmo/GMO_001028>	"Calcium pantothenate | パントテン酸カルシウム"		"Pantothenate is a water-soluble B Vitamin (Vitamine B5)."
<http://purl.jp/bio/10/gmo/GMO_001029>	"Pyridoxine hydrochloride | ピリドキシン塩酸塩"		
<http://purl.jp/bio/10/gmo/GMO_001030>	"Ammonium sulfate | 硫酸アンモニウム"		"Ammonium sulfate"
<http://purl.jp/bio/10/gmo/GMO_001031>	"酢酸ナトリウム | Sodium acetate"	"Sodium ethanoate | 酢酸ソーダ | NaOAc"	"Sodium salt of acetic acid."
<http://purl.jp/bio/10/gmo/GMO_001032>	"システイン塩酸塩 | Cysteine hydrochloride"		
<http://purl.jp/bio/10/gmo/GMO_001033>	"葉酸 | Folic acid"	"ビタミンB9 | Vitamin B9 | プテロイルグルタミン酸 | Vitamin M | Folate | ビタミンM"	
<http://purl.jp/bio/10/gmo/GMO_001034>	"Cobalamin | コバラミン"	"Vitamin B12"	
<http://purl.jp/bio/10/gmo/GMO_001035>	"Zinc chloride | 塩化亜鉛"		
<http://purl.jp/bio/10/gmo/GMO_001036>	"ペプトン | Obsolete: Peptone___ | Obsolete: Peptone"		
<http://purl.jp/bio/10/gmo/GMO_001037>	"リボフラビン | Riboflavin"	"Vitamin B2"	
<http://purl.jp/bio/10/gmo/GMO_001038>	"ナイアシン | Nicotinic acid"	"Niacin | Vitamin B3"	
<http://purl.jp/bio/10/gmo/GMO_001039>	"Copper(II) sulfate pentahydrate | 硫酸銅(II)五水和物"	"Cupric sulfate pentahydrate"	
<http://purl.jp/bio/10/gmo/GMO_001040>	"Obsolete: Polypepton"		
<http://purl.jp/bio/10/gmo/GMO_001041>	"チオ硫酸ナトリウム五水和物 | Sodium thiosulfate pentahydrate"		
<http://purl.jp/bio/10/gmo/GMO_001043>	"Bacto &trade; Tryptone"	"Tryptone, Bacto &trade;"	"A pancreatic digests of casein"
<http://purl.jp/bio/10/gmo/GMO_001045>	"Sodium carbonate | 炭酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001046>	"Sodium selenite pentahydrate | 亜セレン酸ナトリウム五水和物"		
<http://purl.jp/bio/10/gmo/GMO_001047>	"Iron(III) chloride hexahydrate | 塩化鉄(III)六水和物"		
<http://purl.jp/bio/10/gmo/GMO_001048>	"Hydrochloric acid | 塩酸"		
<http://purl.jp/bio/10/gmo/GMO_001049>	"Sodium nitrate | 硝酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001050>	"Cobalt(II) sulfate heptahydrate | 硫酸コバルト(II)七水和物"		
<http://purl.jp/bio/10/gmo/GMO_001051>	"Aluminum potassium sulfate dodecahydrate | 硫酸アルミニウムカリウム十二水和物"		"Aluminum potassium sulfate dodecahydrate"
<http://purl.jp/bio/10/gmo/GMO_001052>	"Sodium sulfate | 硫酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001053>	"ニトリロ三酢酸 | Nitrilotriacetic acid"	"NTA"	
<http://purl.jp/bio/10/gmo/GMO_001054>	"Starch | デンプン"		
<http://purl.jp/bio/10/gmo/GMO_001055>	"Sodium pyruvate | ピルビン酸ナトリウム"	"Pyruvic acid sodium salt"	
<http://purl.jp/bio/10/gmo/GMO_001056>	"Potassium nitrate | 硝酸カリウム"		
<http://purl.jp/bio/10/gmo/GMO_001057>	"Sodium tungstate dihydrate | タングステン酸ナトリウム二水和物"		
<http://purl.jp/bio/10/gmo/GMO_001058>	"Disodium EDTA | EDTA二ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001059>	"Malt extract"		
<http://purl.jp/bio/10/gmo/GMO_001060>	"Polysorbate 80 | ポリソルベート80"	"Tween &reg; 80"	
<http://purl.jp/bio/10/gmo/GMO_001061>	"Calcium chloride | 塩化カルシウム"		
<http://purl.jp/bio/10/gmo/GMO_001062>	"Sulfur powder | 粉末硫黄"	"Elemental sulfur"	
<http://purl.jp/bio/10/gmo/GMO_001063>	"炭酸カルシウム | Calcium carbonate"		
<http://purl.jp/bio/10/gmo/GMO_001064>	"硫酸マンガン(II)四水和物 | Manganese sulfate tetrahydrate"		
<http://purl.jp/bio/10/gmo/GMO_001065>	"Manganese sulfate n-hydrate | 硫酸マンガン(II)n水和物"	"Manganese sulfate x-hydrate"	
<http://purl.jp/bio/10/gmo/GMO_001066>	"Seawater | 海水"		
<http://purl.jp/bio/10/gmo/GMO_001067>	"スクロース | Sucrose"		
<http://purl.jp/bio/10/gmo/GMO_001068>	"硫酸マンガン(II)二水和物 | Manganese sulfate dihydrate"		
<http://purl.jp/bio/10/gmo/GMO_001069>	"リン酸ナトリウム | Disodium phosphate"	"リン酸1水素ナトリウム | Disodium hydrogen phosphate"	
<http://purl.jp/bio/10/gmo/GMO_001070>	"コハク酸ナトリウム | Sodium succinate"	"Sodium succinate dibasic"	
<http://purl.jp/bio/10/gmo/GMO_001071>	"[[Unknown]]"		
<http://purl.jp/bio/10/gmo/GMO_001072>	"Beef extract | 牛肉の浸出液"		
<http://purl.jp/bio/10/gmo/GMO_001073>	"Sodium bromide | 臭化ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001074>	"Meat extract | 肉エキス"		"Meat extract"
<http://purl.jp/bio/10/gmo/GMO_001076>	"硫酸アンモニウム鉄(II)六水和物 | Ammonium iron(II) sulfate hexahydrate"	"Iron(II) ammonium sulfate hexahydrate | Ferrous ammonium sulfate hexahydrate"	"Ammonium iron(II) sulfate hexahydrate"
<http://purl.jp/bio/10/gmo/GMO_001077>	"Obsolete: Borax decahydrate"		
<http://purl.jp/bio/10/gmo/GMO_001078>	"Sodium hydroxide | 水酸化ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001079>	"Iron(III) citrate solution | クエン酸酸化鉄溶液"		
<http://purl.jp/bio/10/gmo/GMO_001080>	"Polypeptone | ポリペプトン"		"A mixture of peptones consisting of pancreatic digest of casein and peptic digest of animal tissue."
<http://purl.jp/bio/10/gmo/GMO_001081>	"硫酸マンガン(II)一水和物 | Manganese sulfate monohydrate"		
<http://purl.jp/bio/10/gmo/GMO_001082>	"メタノール | Methanol"	"Methyl alcohol | メチルアルコール"	
<http://purl.jp/bio/10/gmo/GMO_001083>	"Glycerol | グリセロール"	"グリセリン | Glycerin"	
<http://purl.jp/bio/10/gmo/GMO_001084>	"Diammonium hydrogen citrate | クエン酸水素二アンモニウム"	"Diammonium citrate"	
<http://purl.jp/bio/10/gmo/GMO_001085>	"Strontium chloride hexahydrate | 塩化ストロンチウム六水和物"		
<http://purl.jp/bio/10/gmo/GMO_001086>	"Sodium tungstate | タングステン酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001087>	"硫酸カルシウム二水和物 | Calcium sulfate dihydrate"		
