?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mpo#MPO_02029>	"Floating motility"		
<http://purl.jp/bio/10/mpo#MPO_03000>	"Classification on environmental growth condition"		
<http://purl.jp/bio/10/mpo#MPO_03001>	"Thermophilic | 好熱性"	"Thermophile"	"A microbial organism that thrives at relatively high temperatures, between 45 and 122 C (113 and 252 F)."
<http://purl.jp/bio/10/mpo#MPO_03002>	"Hyperthermophilic | 超好熱性"	"Hyperthermophile"	"A subset of obligate thermophiles for which optimal growth temperatures are above 80C."
<http://purl.jp/bio/10/mpo#MPO_03003>	"Psychrophilic | 好冷性"	"Psychrophile | Cryophile"	"Psychrophilic microbes are a type of bacteria or archia that are capable of growing and thriving in cold environment. Thier optimal growth temperatures are 15 C or lower and maximal are 20 C or lower and mimal growth temperatures are below 0 C."
<http://purl.jp/bio/10/mpo#MPO_03004>	"Obligate thermophilic | 偏性好熱性"	"Obligate thermophile | Extreme thermophile"	
<http://purl.jp/bio/10/mpo#MPO_03005>	"Facultative thermophilic | 通性好熱性"	"Facultative thermophile"	
<http://purl.jp/bio/10/mpo#MPO_03006>	"Classification of growth salinity | 耐塩性"		
<http://purl.jp/bio/10/mpo#MPO_03007>	"Halophilic | 好塩性微生物 | Halophile"		
<http://purl.jp/bio/10/mpo#MPO_03008>	"Halotolerant | 耐塩性微生物"		
<http://purl.jp/bio/10/mpo#MPO_03009>	"Classification of growth pH"		
<http://purl.jp/bio/10/mpo#MPO_03010>	"Acidophilic | 好酸性微生物"	"Acidophile"	
<http://purl.jp/bio/10/mpo#MPO_03011>	"Alkaliphilic | 好アルカリ性微生物"	"Basophile | Alkalophile | Alkaliphile | Alkalinophile"	
<http://purl.jp/bio/10/mpo#MPO_03012>	"Neutrophilic"	"Neutrophile"	
<http://purl.jp/bio/10/mpo#MPO_03013>	"Classification of growth temperature | 温度許容度"	"Temperature tolerance"	
<http://purl.jp/bio/10/mpo#MPO_03014>	"Classification of growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_03015>	"Peizophilic | 好高圧性"	"Peizophile"	
<http://purl.jp/bio/10/mpo#MPO_03016>	"Obligate piezophilic | 偏性好高圧微生物"	"Obligate piezophile"	
<http://purl.jp/bio/10/mpo#MPO_03017>	"Facultative piezophilic | 通性好高圧微生物"	"Facultative piezophile"	
<http://purl.jp/bio/10/mpo#MPO_03018>	"Radioresistant | 放射線耐性"		
<http://purl.jp/bio/10/mpo#MPO_03019>	"Psychrotrophile | Psychrotrophic | 低温性"		"Psychrotrophic microbes are cold-tolerant bacteria or archaea that can grow or even thrive in a cold environment although their optimal growth temperatures are between above 15 C and below 20 C. Their maximal growth temperatures are below 20 C."
<http://purl.jp/bio/10/mpo#MPO_03020>	"Thermotolerant | 耐熱性"		
<http://purl.jp/bio/10/mpo#MPO_03021>	"Psychrotolerant | 耐寒性"		
<http://purl.jp/bio/10/mpo#MPO_03022>	"Mesophilic | 中等温度好性"	"Mesophile"	"A mibrobial organism that thrives at moderate temperature, typically between 20 and 45 C (68 and 113 F)."
<http://purl.jp/bio/10/mpo#MPO_03023>	"Alkalitolerant"		
<http://purl.jp/bio/10/mpo#MPO_03024>	"Euryhaline | 広塩性の"		
<http://purl.jp/bio/10/mpo#MPO_03025>	"Stenohaline | 狭塩性の"		
<http://purl.jp/bio/10/mpo#MPO_04000>	"Metabolism related phenotype"		
<http://purl.jp/bio/10/mpo#MPO_04001>	"Oxygen requirement"		
<http://purl.jp/bio/10/mpo#MPO_04002>	"Aerobe | 好気性微生物"		
<http://purl.jp/bio/10/mpo#MPO_04003>	"Anaerobe | 嫌気性微生物"		
<http://purl.jp/bio/10/mpo#MPO_04004>	"Obligate aerobe | 偏性好気性微生物"		
<http://purl.jp/bio/10/mpo#MPO_04005>	"Facultative aerobe | 通性好気性微生物"		
<http://purl.jp/bio/10/mpo#MPO_04006>	"Obligate anaerobe | 偏性嫌気微生物"		
<http://purl.jp/bio/10/mpo#MPO_04007>	"Facultative anaerobe | 通性嫌気微生物"		
<http://purl.jp/bio/10/mpo#MPO_04008>	"Aerotolerant organism"		
<http://purl.jp/bio/10/mpo#MPO_04009>	"Microaerophile | 微好気性生物"		
<http://purl.jp/bio/10/mpo#MPO_04010>	"Energy source"		
<http://purl.jp/bio/10/mpo#MPO_04011>	"Autotrophic | 独立栄養"	"Autotroph"	
<http://purl.jp/bio/10/mpo#MPO_04012>	"Heterotrophic | 従属栄養性"	"Heterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04013>	"Lithotrophic | 無機栄養性"	"無機栄養細菌 | Lithotroph"	
<http://purl.jp/bio/10/mpo#MPO_04014>	"Methanotrophic"	"Methanotroph"	
<http://purl.jp/bio/10/mpo#MPO_04015>	"Methylotrophic"	"Methylotroph"	
<http://purl.jp/bio/10/mpo#MPO_04016>	"Oligotrophic"	"Oligotroph"	
<http://purl.jp/bio/10/mpo#MPO_04017>	"Organotrophic | 有機栄養の"	"Organotroph"	
<http://purl.jp/bio/10/mpo#MPO_04018>	"Diazotrophic | ジアゾ栄養生物"	"Diazotroph"	
<http://purl.jp/bio/10/mpo#MPO_04019>	"Phototrophic | 光栄養"	"Phototroph"	
<http://purl.jp/bio/10/mpo#MPO_04020>	"Photosynthetic | 光合成の"	"Photosynthetic microbe"	
<http://purl.jp/bio/10/mpo#MPO_04021>	"Mixotrophic"	"Mixotroph"	
<http://purl.jp/bio/10/mpo#MPO_04022>	"Chemotrophic | 化学合成生物"	"Chemotroph"	
<http://purl.jp/bio/10/mpo#MPO_04023>	"Microanaerobe"		
<http://purl.jp/bio/10/mpo#MPO_04024>	"Copiotrophic"	"Copiotroph"	
<http://purl.jp/bio/10/mpo#MPO_04025>	"Photoorganotrophic"	"Photoorganotroph"	
<http://purl.jp/bio/10/mpo#MPO_04026>	"Photolithotrophic"	"Photolithotroph"	
<http://purl.jp/bio/10/mpo#MPO_04027>	"Photoheterotrophic | 光従属栄養"	"Photoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04028>	"Photoautotrophic | 光独立栄養"	"Photoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04029>	"Photoorganoheterotrophic"	"Photoorganoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04030>	"Photoorganoautotrophic"	"Photoorganoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04031>	"Photolithoheterotrophic"	"Photolithoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04032>	"Photolithoautotrophic"	"Photolithoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04033>	"Chemoorganotrophic"	"Chemoorganotroph"	
<http://purl.jp/bio/10/mpo#MPO_04034>	"Chemolithotrophic"	"Chemolithotroph"	
<http://purl.jp/bio/10/mpo#MPO_04035>	"Chemoheterotrophic"	"Chemoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04036>	"Chemoautotrophic"	"Chemoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04037>	"Chemoorganoheterotrophic"	"Chemoorganoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04038>	"Chemoorganoautotrophic"	"Chemoorganoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04039>	"Chemolithoheterotrophic"	"Chemolithoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04040>	"独立栄養化学合成細菌 | Chemolithoautotrophic | 独立栄養化学合成性"	"Chemolithoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04041>	"Lithoautotrophic"	"Lithoautotroph"	
<http://purl.jp/bio/10/mpo#MPO_04042>	"Lithoheterotrophic"	"Lithoheterotroph"	
<http://purl.jp/bio/10/mpo#MPO_04043>	"Carboxydotrophic"	"Carboxydotroph"	"Any organism that can tolerate a high concentration of carbon monoxide"
<http://purl.jp/bio/10/mpo#MPO_04044>	"Auxotrophic | 栄養要求株"		
<http://purl.jp/bio/10/mpo#MPO_04045>	"Capnophilic"	"Capnophile"	
<http://purl.jp/bio/10/mpo#MPO_04046>	"Fermentation"		
<http://purl.jp/bio/10/mpo#MPO_04047>	"Alcohol fermentation"		
<http://purl.jp/bio/10/mpo#MPO_04048>	"Acetate fermentation"		
<http://purl.jp/bio/10/mpo#MPO_04049>	"Lactate fermentation"		
<http://purl.jp/bio/10/mpo#MPO_04050>	"Aceton-butanol fermentation"		
<http://purl.jp/bio/10/mpo#MPO_04052>	"Phagotrophic | 摂食栄養"		
<http://purl.jp/bio/10/mpo#MPO_04053>	"Assimilation"		
<http://purl.jp/bio/10/mpo#MPO_04054>	"Catabolism"	"Dissimilatory process"	
<http://purl.jp/bio/10/mpo#MPO_04055>	"Nitrogen fixation"		
<http://purl.jp/bio/10/mpo#MPO_04056>	"Biosynthesis"		
