# KGX edge templates for MetaTraits composed traits
# Subject is left blank — fill with strain/genome CURIE per source database
# Generated: 2026-02-12
# Tool: metpo/scripts/curie_join_metatraits.py v0.2.0
# Pattern: <subject> --[predicate_id]--> <object_id>
#   e.g.: NCBITaxon:562 --[METPO:2000011 ferments]--> CHEBI:17234 (glucose)
# Use negative_predicate_id for negative assay results
#   e.g.: NCBITaxon:562 --[METPO:2000037 does not ferment]--> CHEBI:17057 (cellobiose)
#
metatraits_card_id	metatraits_trait	predicate_id	predicate_label	object_id	object_label	negative_predicate_id	negative_predicate_label	knowledge_level	agent_type	primary_knowledge_source
anaerobic-growth-d-glucose	anaerobic growth: D-glucose	METPO:2000049	uses for anaerobic growth	CHEBI:17634	D-glucose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-dextran	anaerobic growth: dextran	METPO:2000049	uses for anaerobic growth	CHEBI:52071	dextran	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-dimethyl-sulfoxide	anaerobic growth: dimethyl sulfoxide	METPO:2000049	uses for anaerobic growth	CHEBI:28262	dimethyl sulfoxide	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-fructose	anaerobic growth: fructose	METPO:2000049	uses for anaerobic growth	CHEBI:28757	fructose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-fumarate	anaerobic growth: fumarate	METPO:2000049	uses for anaerobic growth	CHEBI:29806	fumarate	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-galactose	anaerobic growth: galactose	METPO:2000049	uses for anaerobic growth	CHEBI:28260	galactose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-glucose	anaerobic growth: glucose	METPO:2000049	uses for anaerobic growth	CHEBI:17234	glucose	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
anaerobic-growth-nitrate	anaerobic growth: nitrate	METPO:2000049	uses for anaerobic growth	CHEBI:17632	nitrate	METPO:2000024	does not use for anaerobic growth	knowledge_assertion	manual_agent	infores:metatraits
assimilation-d-fructose	assimilation: (-)-D-fructose	METPO:2000002	assimilates	CHEBI:48095	(-)-D-fructose	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-d-ribose	assimilation: (-)-D-ribose	METPO:2000002	assimilates	CHEBI:16988	(-)-D-ribose	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-quinic-acid	assimilation: (-)-quinic acid	METPO:2000002	assimilates	CHEBI:17521	(-)-quinic acid	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-d-arabitol	assimilation: (+)-D-arabitol	METPO:2000002	assimilates	CHEBI:18333	(+)-D-arabitol	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-d-galactose	assimilation: (+)-D-galactose	METPO:2000002	assimilates		(+)-D-galactose	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-d-mannose	assimilation: (+)-D-mannose	METPO:2000002	assimilates		(+)-D-mannose	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-d-xylose	assimilation: (+)-D-xylose	METPO:2000002	assimilates		(+)-D-xylose	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-l-aspartate	assimilation: (+)-L-aspartate	METPO:2000002	assimilates		(+)-L-aspartate	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
assimilation-r-amygdalin	assimilation: (R)-amygdalin	METPO:2000002	assimilates	CHEBI:17019	(R)-amygdalin	METPO:2000027	does not assimilate	knowledge_assertion	manual_agent	infores:metatraits
