substrate_label	card_count	example_cards	metatraits_chebi_id	chebi_label_from_oak	label_match	kgm_chebi_id	kgm_chebi_label	kgm_label_match	kgm_matches_metatraits	audit_status
3-dehydro-D-gluconate	1	assimilation-3-dehydro-d-gluconate	CHEBI:85256	3-dehydro-D-gluconate	exact			not_found	n/a	verified
3-hydroxy 2-butanone	1	assimilation-3-hydroxy-2-butanone			no_curie			not_found	n/a	no_curie
3-hydroxybenzoate	6	assimilation-3-hydroxybenzoate; builds-acid-from-3-hydroxybenzoate; carbon-source-3-hydroxybenzoate	CHEBI:16193	3-hydroxybenzoate	exact			not_found	n/a	verified
3-hydroxybutyrate	9	assimilation-3-hydroxybutyrate; builds-acid-from-3-hydroxybutyrate; carbon-source-3-hydroxybutyrate	CHEBI:37054	3-hydroxybutyrate	exact			not_found	n/a	verified
3-methylglucose	4	assimilation-3-methylglucose; carbon-source-3-methylglucose; energy-source-3-methylglucose	CHEBI:73918	3-O-methyl-D-glucose	mismatch			not_found	n/a	mismatch
3-nitropropanoate	3	carbon-source-3-nitropropanoate; energy-source-3-nitropropanoate; nitrogen-source-3-nitropropanoate	CHEBI:59899	3-nitropropanoate	exact			not_found	n/a	verified
3-O-methyl alpha-D-glucopyranoside	5	assimilation-3-o-methyl-alpha-d-glucopyranoside; builds-acid-from-3-o-methyl-alpha-d-glucopyranoside; carbon-source-3-o-methyl-alpha-d-glucopyranoside			no_curie			not_found	n/a	no_curie
3-O-methyl-D-glucose	7	assimilation-3-o-methyl-d-glucose; builds-acid-from-3-o-methyl-d-glucose; carbon-source-3-o-methyl-d-glucose	CHEBI:73918	3-O-methyl-D-glucose	exact			not_found	n/a	verified
3-O-methylgallate	2	carbon-source-3-o-methylgallate; reduction-3-o-methylgallate	CHEBI:19950	3-O-methylgallate	exact			not_found	n/a	verified
3-phenylpropionate	4	assimilation-3-phenylpropionate; carbon-source-3-phenylpropionate; growth-3-phenylpropionate	CHEBI:51057	3-phenylpropionate	exact			not_found	n/a	verified
3-trehalosamine	1	produces-3-trehalosamine			no_curie			not_found	n/a	no_curie
4,4-dihydroxy-biphenyl	1	assimilation-4-4-dihydroxy-biphenyl			no_curie			not_found	n/a	no_curie
4-aminobenzoate	4	growth-4-aminobenzoate; nitrogen-source-4-aminobenzoate; required-for-growth-4-aminobenzoate	CHEBI:17836	4-aminobenzoate	exact			not_found	n/a	verified
4-aminobutyrate	4	assimilation-4-aminobutyrate; carbon-source-4-aminobutyrate; energy-source-4-aminobutyrate	CHEBI:30566	gamma-aminobutyrate	mismatch			not_found	n/a	mismatch
4-aminovalerate	1	growth-4-aminovalerate			no_curie			not_found	n/a	no_curie
4-coumarate	3	assimilation-4-coumarate; carbon-source-4-coumarate; growth-4-coumarate	CHEBI:32373	4-coumarate	exact			not_found	n/a	verified
4-fluoro-L-threonine	1	produces-4-fluoro-l-threonine	CHEBI:11986	4-fluoro-L-threonine	exact			not_found	n/a	verified
4-hydroxy-L-proline	8	assimilation-4-hydroxy-l-proline; carbon-source-4-hydroxy-l-proline; energy-source-4-hydroxy-l-proline	CHEBI:18240	4-hydroxy-L-proline	exact			not_found	n/a	verified
